id,candidate,announced,withdrew,campaignLength,party,year,wonNomination,imcumbant,daysUntilConventionAnnounced,daysUntilConventionSuspended,daysAfterMidtermsAnnounced,,
,,,4/17/2006,,,,,,,,,,
1,Mike Gravel '08,4/17/2006,3/26/2008,709,D,2008,0,0,863,154,-204,,
2,Tom Vilsack,11/30/2006,2/23/2007,85,D,2008,0,0,636,551,23,,
3,Dennis Kucinich,12/11/2006,1/23/2008,408,D,2008,0,0,625,217,34,,
4,John Edwards,12/28/2006,1/30/2008,398,D,2008,0,0,608,210,51,,
5,Joe Biden '08,1/7/2007,1/3/2008,361,D,2008,0,0,598,237,61,,
6,Chris Dodd,1/11/2007,1/3/2008,357,D,2008,0,0,594,237,65,,
7,Hillary Clinton '08,1/20/2007,6/7/2008,504,D,2008,0,0,585,81,74,,
8,Sam Brownback,1/20/2007,10/19/2007,272,R,2008,0,0,592,320,74,,
9,Bill Richardson,1/21/2007,1/10/2008,354,D,2008,0,0,584,230,75,,
10,Duncan Hunter,1/25/2007,1/19/2008,359,R,2008,0,0,587,228,79,,
11,Mike Huckabee '08,1/28/2007,3/4/2008,401,R,2008,0,0,584,183,82,,
12,Barack Obama,2/10/2007,11/4/2008,564,D,2008,1,0,564,0,95,,
13,Mitt Romney '08,2/13/2007,2/7/2008,359,R,2008,0,0,568,209,98,,
14,Rudy Giuliani,2/14/2007,1/30/2008,350,R,2008,0,0,567,217,99,,
15,Ron Paul '08,3/12/2007,6/12/2008,458,R,2008,0,0,541,83,125,,
16,Tommy Thompson,4/1/2007,8/12/2007,133,R,2008,0,0,521,388,145,,
17,Tom Tancredo,4/2/2007,12/20/2007,262,R,2008,0,0,520,258,146,,
18,John McCain,4/25/2007,11/4/2008,497,R,2008,1,0,497,0,169,,
19,Jim Gilmore '08,4/26/2007,7/14/2007,79,R,2008,0,0,496,417,170,,
20,Fred Thompson,9/5/2007,1/22/2008,139,R,2008,0,0,364,225,302,,
21,Alan Keyes,9/14/2007,4/15/2008,214,R,2008,0,0,355,141,311,,
22,Barack Obama,5/11/2011,11/6/2012,545,D,2012,1,1,0,0,190,,
23,Newt Gingrich,5/11/2011,5/2/2012,357,R,2012,0,0,475,118,190,,
24,Ron Paul '12,5/13/2011,8/28/2012,473,R,2012,0,0,473,0,192,,
25,Herman Cain,5/21/2011,12/3/2011,196,R,2012,0,0,465,269,200,,
26,Mitt Romney '12,6/2/2011,8/28/2012,453,R,2012,1,0,453,0,212,,
27,Rick Santorum '12,6/6/2011,4/10/2012,309,R,2012,0,0,449,140,216,,
28,Buddy Roemer,6/21/2011,2/22/2012,246,R,2012,0,0,434,188,231,,
29,Jon Huntsman Jr.,6/21/2011,1/16/2012,209,R,2012,0,0,434,225,231,,
