id,candidate,announced,party,year,daysAfterMidtermsAnnounced
1,Mike Gravel,4/17/2006,D,2008,-204
2,Tom Vilsack,11/30/2006,D,2008,23
3,Dennis Kucinich,12/11/2006,D,2008,34
4,John Edwards,12/28/2006,D,2008,51
5,Joe Biden,1/7/2007,D,2008,61
6,Chris Dodd,1/11/2007,D,2008,65
7,Hillary Clinton,1/20/2007,D,2008,74
8,Sam Brownback,1/20/2007,R,2008,74
9,Bill Richardson,1/21/2007,D,2008,75
10,Duncan Hunter,1/25/2007,R,2008,79
11,Mike Huckabee,1/28/2007,R,2008,82
12,Barack Obama,2/10/2007,D,2008,95
13,Mitt Romney,2/13/2007,R,2008,98
14,Rudy Giuliani,2/14/2007,R,2008,99
15,Ron Paul,3/12/2007,R,2008,125
16,Tommy Thompson,4/1/2007,R,2008,145
17,Tom Tancredo,4/2/2007,R,2008,146
18,John McCain,4/25/2007,R,2008,169
19,Jim Gilmore,4/26/2007,R,2008,170
20,Fred Thompson,9/5/2007,R,2008,302
21,Alan Keyes,9/14/2007,R,2008,311
22,Newt Gingrich,5/11/2011,R,2012,190
23,Ron Paul,5/13/2011,R,2012,192
24,Herman Cain,5/21/2011,R,2012,200
25,Mitt Romney,6/2/2011,R,2012,212
26,Rick Santorum,6/6/2011,R,2012,216
27,Buddy Roemer,6/21/2011,R,2012,231
28,Jon Huntsman Jr.,6/21/2011,R,2012,231
29,Michele Bachmann,6/27/2011,R,2012,237
30,Rick Perry,8/13/2011,R,2012,284
31,Ted Cruz,3/23/2015,R,2016,139
32,Rand Paul,4/7/2015,R,2016,154
33,Hillary Clinton,4/12/2015,D,2016,159
34,Marco Rubio,4/13/2015,R,2016,160
35,Ben Carson,5/4/2015,R,2016,181
36,Carly Fiorina,5/4/2015,R,2016,181
37,Mike Huckabee,5/5/2015,R,2016,182
38,Bernie Sanders,5/26/2015,D,2016,203
39,Rick Santorum,5/27/2015,R,2016,204
40,George Pataki,5/28/2015,R,2016,205
41,Martin O'Malley,5/30/2015,D,2016,207
42,Lindsey Graham,6/1/2015,R,2016,209
43,Lincoln Chafee,6/3/2015,D,2016,211
44,Rick Perry,6/4/2015,R,2016,212
45,Jeb Bush,6/15/2015,R,2016,223
46,Donald Trump,6/16/2015,R,2016,224
47,Bobby Jindal,6/24/2015,R,2016,232
48,Chris Christie,6/30/2015,R,2016,238
49,Jim Webb,7/2/2015,D,2016,240
50,Scott Walker,7/13/2015,R,2016,251
51,John Kasich,7/21/2015,R,2016,259
52,Jim Gilmore,7/30/2015,R,2016,268
53,Lawrence Lessig,9/6/2015,D,2016,306
54,John Delaney,7/28/2017,D,2020,-466
55,Andrew Yang,11/6/2017,D,2020,-365
56,Richard Ojeda,11/11/2018,D,2020,5
57,Tulsi Gabbard,1/11/2019,D,2020,66
58,Julián Castro,1/12/2019,D,2020,67
59,Kamala Harris,1/21/2019,D,2020,76
60,Marianne Williamson,1/28/2019,D,2020,83
61,Cory Booker,2/1/2019,D,2020,87
62,Elizabeth Warren,2/9/2019,D,2020,95
63,Amy Klobuchar,2/10/2019,D,2020,96
64,Bernie Sanders,2/19/2019,D,2020,105
65,Jay Inslee,3/1/2019,D,2020,115
66,John Hickenlooper,3/4/2019,D,2020,118
67,Beto O'Rourke,3/14/2019,D,2020,128
68,Kirsten Gillibrand,3/17/2019,D,2020,131
69,Wayne Messam,3/28/2019,D,2020,142
70,Mike Gravel,4/2/2019,D,2020,147
71,Tim Ryan,4/4/2019,D,2020,149
72,Eric Swalwell,4/8/2019,D,2020,153
73,Pete Buttigieg,4/14/2019,D,2020,159
74,Bill Weld,4/15/2019,R,2020,160
75,Seth Moulton,4/22/2019,D,2020,167
76,Joe Biden,4/25/2019,D,2020,170
77,Michael Bennet,5/2/2019,D,2020,177
78,Steve Bullock,5/14/2019,D,2020,189
79,Bill de Blasio,5/16/2019,D,2020,191
80,Joe Sestak,6/23/2019,D,2020,229
81,Tom Steyer,7/9/2019,D,2020,245
82,Joe Walsh,8/25/2019,R,2020,292
83,Mark Sanford,9/8/2019,R,2020,306
84,Deval Patrick,11/14/2019,D,2020,373
85,Michael Bloomberg,11/24/2019,D,2020,383
86,Donald Trump,11/15/2022,R,2024,7
